DIA_TRANSPORTE;AMBA;MOTIVO_ATSF;GENERO;TIPO_TRANSPORTE;CANT_TRJ;DATO_PRELIMINAR
2020-01-01;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;SUBTE;0;NO
2020-01-01;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;TOTAL;3599;NO
2020-01-01;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;TREN;0;NO
2020-01-01;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;COLECTIVO;36;NO
2020-01-01;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;LANCHA;0;NO
2020-01-01;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;SUBTE;0;NO
2020-01-01;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;TOTAL;36;NO
2020-01-01;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;TREN;0;NO
2020-01-01;NO;PROGRESAR;F;COLECTIVO;2210;NO
2020-01-01;NO;PROGRESAR;F;LANCHA;0;NO
2020-01-01;NO;PROGRESAR;F;SUBTE;0;NO
2020-01-01;NO;PROGRESAR;F;TOTAL;2210;NO
2020-01-01;NO;PROGRESAR;F;TREN;0;NO
2020-01-01;NO;PROGRESAR;M;COLECTIVO;1381;NO
2020-01-01;NO;PROGRESAR;M;LANCHA;0;NO
2020-01-01;NO;PROGRESAR;M;SUBTE;0;NO
2020-01-01;NO;PROGRESAR;M;TOTAL;1381;NO
2020-01-01;NO;PROGRESAR;M;TREN;0;NO
2020-01-01;SI;;;COLECTIVO;279465;NO
2020-01-01;SI;;;LANCHA;0;NO
2020-01-01;SI;;;SUBTE;35695;NO
2020-01-01;SI;;;TOTAL;308938;NO
2020-01-01;SI;;;TREN;44442;NO
2020-01-01;SI;;F;COLECTIVO;128861;NO
2020-01-01;SI;;F;LANCHA;0;NO
2020-01-01;SI;;F;SUBTE;12693;NO
2020-01-01;SI;;F;TOTAL;139632;NO
2020-01-01;SI;;F;TREN;20382;NO
2020-01-01;SI;;M;COLECTIVO;126484;NO
2020-01-01;SI;;M;LANCHA;0;NO
2020-01-01;SI;;M;SUBTE;14445;NO
2020-01-01;SI;;M;TOTAL;138262;NO
2020-01-01;SI;;M;TREN;22012;NO
2020-01-01;SI;AUH;F;COLECTIVO;54531;NO
2020-01-01;SI;AUH;F;LANCHA;0;NO
2020-01-01;SI;AUH;F;SUBTE;1486;NO
2020-01-01;SI;AUH;F;TOTAL;55573;NO
2020-01-01;SI;AUH;F;TREN;5388;NO
2020-01-01;SI;AUH;M;COLECTIVO;1725;NO
2020-01-01;SI;AUH;M;LANCHA;0;NO
2020-01-01;SI;AUH;M;SUBTE;52;NO
2020-01-01;SI;AUH;M;TOTAL;1755;NO
2020-01-01;SI;AUH;M;TREN;188;NO
2020-01-01;SI;JUBILACION;F;COLECTIVO;63327;NO
2020-01-01;SI;JUBILACION;F;LANCHA;0;NO
2020-01-01;SI;JUBILACION;F;SUBTE;2723;NO
2020-01-01;SI;JUBILACION;F;TOTAL;65513;NO
2020-01-01;SI;JUBILACION;F;TREN;5738;NO
2020-01-01;SI;JUBILACION;M;COLECTIVO;31419;NO
2020-01-01;SI;JUBILACION;M;LANCHA;0;NO
2020-01-01;SI;JUBILACION;M;SUBTE;1450;NO
2020-01-01;SI;JUBILACION;M;TOTAL;32531;NO
2020-01-01;SI;JUBILACION;M;TREN;3173;NO
2020-01-01;SI;MONOTRIBUTO SOCIAL;F;COLECTIVO;12588;NO
2020-01-01;SI;MONOTRIBUTO SOCIAL;F;LANCHA;0;NO
2020-01-01;SI;MONOTRIBUTO SOCIAL;F;SUBTE;437;NO
2020-01-01;SI;MONOTRIBUTO SOCIAL;F;TOTAL;12888;NO
2020-01-01;SI;MONOTRIBUTO SOCIAL;F;TREN;1344;NO
2020-01-01;SI;MONOTRIBUTO SOCIAL;M;COLECTIVO;5653;NO
2020-01-01;SI;MONOTRIBUTO SOCIAL;M;LANCHA;0;NO
2020-01-01;SI;MONOTRIBUTO SOCIAL;M;SUBTE;215;NO
2020-01-01;SI;MONOTRIBUTO SOCIAL;M;TOTAL;5824;NO
2020-01-01;SI;MONOTRIBUTO SOCIAL;M;TREN;675;NO
2020-01-01;SI;OTRO;F;COLECTIVO;1605;NO
2020-01-01;SI;OTRO;F;LANCHA;0;NO
2020-01-01;SI;OTRO;F;SUBTE;77;NO
2020-01-01;SI;OTRO;F;TOTAL;1660;NO
2020-01-01;SI;OTRO;F;TREN;183;NO
2020-01-01;SI;OTRO;M;COLECTIVO;893;NO
2020-01-01;SI;OTRO;M;LANCHA;0;NO
2020-01-01;SI;OTRO;M;SUBTE;50;NO
2020-01-01;SI;OTRO;M;TOTAL;931;NO
2020-01-01;SI;OTRO;M;TREN;107;NO
2020-01-01;SI;PENSION;F;COLECTIVO;21586;NO
2020-01-01;SI;PENSION;F;LANCHA;0;NO
2020-01-01;SI;PENSION;F;SUBTE;670;NO
2020-01-01;SI;PENSION;F;TOTAL;22104;NO
2020-01-01;SI;PENSION;F;TREN;2289;NO
2020-01-01;SI;PENSION;M;COLECTIVO;9394;NO
2020-01-01;SI;PENSION;M;LANCHA;0;NO
2020-01-01;SI;PENSION;M;SUBTE;357;NO
2020-01-01;SI;PENSION;M;TOTAL;9640;NO
2020-01-01;SI;PENSION;M;TREN;1057;NO
2020-01-01;SI;PERSONAL DEL TRABAJO DOMÉSTICO;F;COLECTIVO;24474;NO
2020-01-01;SI;PERSONAL DEL TRABAJO DOMÉSTICO;F;LANCHA;0;NO
2020-01-01;SI;PERSONAL DEL TRABAJO DOMÉSTICO;F;SUBTE;1290;NO
2020-01-01;SI;PERSONAL DEL TRABAJO DOMÉSTICO;F;TOTAL;25272;NO
2020-01-01;SI;PERSONAL DEL TRABAJO DOMÉSTICO;F;TREN;3704;NO
2020-01-01;SI;PERSONAL DEL TRABAJO DOMÉSTICO;M;COLECTIVO;357;NO
2020-01-01;SI;PERSONAL DEL TRABAJO DOMÉSTICO;M;LANCHA;0;NO
2020-01-01;SI;PERSONAL DEL TRABAJO DOMÉSTICO;M;SUBTE;20;NO
2020-01-01;SI;PERSONAL DEL TRABAJO DOMÉSTICO;M;TOTAL;380;NO
2020-01-01;SI;PERSONAL DEL TRABAJO DOMÉSTICO;M;TREN;78;NO
2020-01-01;SI;PROGRESAR;F;COLECTIVO;7569;NO
2020-01-01;SI;PROGRESAR;F;LANCHA;0;NO
2020-01-01;SI;PROGRESAR;F;SUBTE;323;NO
2020-01-01;SI;PROGRESAR;F;TOTAL;7868;NO
2020-01-01;SI;PROGRESAR;F;TREN;977;NO
2020-01-01;SI;PROGRESAR;M;COLECTIVO;4233;NO
2020-01-01;SI;PROGRESAR;M;LANCHA;0;NO
2020-01-01;SI;PROGRESAR;M;SUBTE;197;NO
2020-01-01;SI;PROGRESAR;M;TOTAL;4389;NO
2020-01-01;SI;PROGRESAR;M;TREN;530;NO
2020-01-02;NO;;;COLECTIVO;197724;NO
2020-01-02;NO;;;LANCHA;2;NO
2020-01-02;NO;;;SUBTE;0;NO
2020-01-02;NO;;;TOTAL;197833;NO
2020-01-02;NO;;;TREN;203;NO
2020-01-02;NO;;F;COLECTIVO;103270;NO
2020-01-02;NO;;F;LANCHA;26;NO
2020-01-02;NO;;F;SUBTE;0;NO
2020-01-02;NO;;F;TOTAL;103369;NO
2020-01-02;NO;;F;TREN;125;NO
2020-01-02;NO;;M;COLECTIVO;66087;NO
2020-01-02;NO;;M;LANCHA;22;NO
2020-01-02;NO;;M;SUBTE;0;NO
2020-01-02;NO;;M;TOTAL;66169;NO
2020-01-02;NO;;M;TREN;107;NO
2020-01-02;NO;AUH;F;COLECTIVO;47853;NO
2020-01-02;NO;AUH;F;LANCHA;1;NO
2020-01-02;NO;AUH;F;SUBTE;0;NO
2020-01-02;NO;AUH;F;TOTAL;47854;NO
2020-01-02;NO;AUH;F;TREN;1;NO
2020-01-02;NO;AUH;M;COLECTIVO;937;NO
2020-01-02;NO;AUH;M;LANCHA;0;NO
2020-01-02;NO;AUH;M;SUBTE;0;NO
2020-01-02;NO;AUH;M;TOTAL;937;NO
2020-01-02;NO;AUH;M;TREN;0;NO
2020-01-02;NO;JUBILACION;F;COLECTIVO;70426;NO
2020-01-02;NO;JUBILACION;F;LANCHA;13;NO
2020-01-02;NO;JUBILACION;F;SUBTE;0;NO
2020-01-02;NO;JUBILACION;F;TOTAL;70448;NO
2020-01-02;NO;JUBILACION;F;TREN;19;NO
2020-01-02;NO;JUBILACION;M;COLECTIVO;36025;NO
2020-01-02;NO;JUBILACION;M;LANCHA;18;NO
2020-01-02;NO;JUBILACION;M;SUBTE;0;NO
2020-01-02;NO;JUBILACION;M;TOTAL;36046;NO
2020-01-02;NO;JUBILACION;M;TREN;9;NO
2020-01-02;NO;MONOTRIBUTO SOCIAL;F;COLECTIVO;10395;NO
2020-01-02;NO;MONOTRIBUTO SOCIAL;F;LANCHA;4;NO
2020-01-02;NO;MONOTRIBUTO SOCIAL;F;SUBTE;0;NO
2020-01-02;NO;MONOTRIBUTO SOCIAL;F;TOTAL;10399;NO
2020-01-02;NO;MONOTRIBUTO SOCIAL;F;TREN;2;NO
2020-01-02;NO;MONOTRIBUTO SOCIAL;M;COLECTIVO;3730;NO
2020-01-02;NO;MONOTRIBUTO SOCIAL;M;LANCHA;0;NO
2020-01-02;NO;MONOTRIBUTO SOCIAL;M;SUBTE;0;NO
2020-01-02;NO;MONOTRIBUTO SOCIAL;M;TOTAL;3731;NO
2020-01-02;NO;MONOTRIBUTO SOCIAL;M;TREN;2;NO
2020-01-02;NO;OTRO;F;COLECTIVO;2389;NO
2020-01-02;NO;OTRO;F;LANCHA;1;NO
2020-01-02;NO;OTRO;F;SUBTE;0;NO
2020-01-02;NO;OTRO;F;TOTAL;2390;NO
2020-01-02;NO;OTRO;F;TREN;0;NO
2020-01-02;NO;OTRO;M;COLECTIVO;1102;NO
2020-01-02;NO;OTRO;M;LANCHA;0;NO
2020-01-02;NO;OTRO;M;SUBTE;0;NO
2020-01-02;NO;OTRO;M;TOTAL;1102;NO
2020-01-02;NO;OTRO;M;TREN;0;NO
2020-01-02;NO;PENSION;F;COLECTIVO;32225;NO
2020-01-02;NO;PENSION;F;LANCHA;2;NO
2020-01-02;NO;PENSION;F;SUBTE;0;NO
2020-01-02;NO;PENSION;F;TOTAL;32228;NO
2020-01-02;NO;PENSION;F;TREN;5;NO
2020-01-02;NO;PENSION;M;COLECTIVO;12359;NO
2020-01-02;NO;PENSION;M;LANCHA;2;NO
2020-01-02;NO;PENSION;M;SUBTE;0;NO
2020-01-02;NO;PENSION;M;TOTAL;12361;NO
2020-01-02;NO;PENSION;M;TREN;2;NO
2020-01-02;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;COLECTIVO;24462;NO
2020-01-02;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;LANCHA;3;NO
2020-01-02;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;SUBTE;0;NO
2020-01-02;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;TOTAL;24466;NO
2020-01-02;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;TREN;9;NO
2020-01-02;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;COLECTIVO;202;NO
2020-01-02;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;LANCHA;0;NO
2020-01-02;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;SUBTE;0;NO
2020-01-02;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;TOTAL;202;NO
2020-01-02;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;TREN;0;NO
2020-01-02;NO;PROGRESAR;F;COLECTIVO;9022;NO
2020-01-02;NO;PROGRESAR;F;LANCHA;0;NO
2020-01-02;NO;PROGRESAR;F;SUBTE;0;NO
2020-01-02;NO;PROGRESAR;F;TOTAL;9025;NO
2020-01-02;NO;PROGRESAR;F;TREN;4;NO
2020-01-02;NO;PROGRESAR;M;COLECTIVO;4554;NO
2020-01-02;NO;PROGRESAR;M;LANCHA;0;NO
2020-01-02;NO;PROGRESAR;M;SUBTE;0;NO
2020-01-02;NO;PROGRESAR;M;TOTAL;4554;NO
2020-01-02;NO;PROGRESAR;M;TREN;1;NO
2020-01-02;SI;;;COLECTIVO;960064;NO
2020-01-02;SI;;;LANCHA;0;NO
2020-01-02;SI;;;SUBTE;215527;NO
2020-01-02;SI;;;TOTAL;1107765;NO
2020-01-02;SI;;;TREN;253336;NO
2020-01-02;SI;;F;COLECTIVO;566548;NO
2020-01-02;SI;;F;LANCHA;0;NO
2020-01-02;SI;;F;SUBTE;111918;NO
2020-01-02;SI;;F;TOTAL;630882;NO
2020-01-02;SI;;F;TREN;136628;NO
2020-01-02;SI;;M;COLECTIVO;450463;NO
2020-01-02;SI;;M;LANCHA;0;NO
2020-01-02;SI;;M;SUBTE;111147;NO
2020-01-02;SI;;M;TOTAL;522217;NO
2020-01-02;SI;;M;TREN;141321;NO
2020-01-02;SI;AUH;F;COLECTIVO;187375;NO
2020-01-02;SI;AUH;F;LANCHA;0;NO
2020-01-02;SI;AUH;F;SUBTE;9755;NO
2020-01-02;SI;AUH;F;TOTAL;191943;NO
2020-01-02;SI;AUH;F;TREN;42749;NO
2020-01-02;SI;AUH;M;COLECTIVO;5887;NO
2020-01-02;SI;AUH;M;LANCHA;0;NO
2020-01-02;SI;AUH;M;SUBTE;415;NO
2020-01-02;SI;AUH;M;TOTAL;6075;NO
2020-01-02;SI;AUH;M;TREN;1585;NO
2020-01-02;SI;JUBILACION;F;COLECTIVO;290275;NO
2020-01-02;SI;JUBILACION;F;LANCHA;0;NO
2020-01-02;SI;JUBILACION;F;SUBTE;21641;NO
2020-01-02;SI;JUBILACION;F;TOTAL;300553;NO
2020-01-02;SI;JUBILACION;F;TREN;38064;NO
2020-01-02;SI;JUBILACION;M;COLECTIVO;138308;NO
2020-01-02;SI;JUBILACION;M;LANCHA;0;NO
2020-01-02;SI;JUBILACION;M;SUBTE;12699;NO
2020-01-02;SI;JUBILACION;M;TOTAL;144427;NO
2020-01-02;SI;JUBILACION;M;TREN;21498;NO
2020-01-02;SI;MONOTRIBUTO SOCIAL;F;COLECTIVO;46433;NO
2020-01-02;SI;MONOTRIBUTO SOCIAL;F;LANCHA;0;NO
2020-01-02;SI;MONOTRIBUTO SOCIAL;F;SUBTE;2824;NO
2020-01-02;SI;MONOTRIBUTO SOCIAL;F;TOTAL;47695;NO
2020-01-02;SI;MONOTRIBUTO SOCIAL;F;TREN;10350;NO
2020-01-02;SI;MONOTRIBUTO SOCIAL;M;COLECTIVO;17818;NO
2020-01-02;SI;MONOTRIBUTO SOCIAL;M;LANCHA;0;NO
2020-01-02;SI;MONOTRIBUTO SOCIAL;M;SUBTE;1257;NO
2020-01-02;SI;MONOTRIBUTO SOCIAL;M;TOTAL;18454;NO
2020-01-02;SI;MONOTRIBUTO SOCIAL;M;TREN;4188;NO
2020-01-02;SI;OTRO;F;COLECTIVO;5611;NO
2020-01-02;SI;OTRO;F;LANCHA;0;NO
2020-01-02;SI;OTRO;F;SUBTE;482;NO
2020-01-02;SI;OTRO;F;TOTAL;5861;NO
2020-01-02;SI;OTRO;F;TREN;1276;NO
2020-01-02;SI;OTRO;M;COLECTIVO;2814;NO
2020-01-02;SI;OTRO;M;LANCHA;0;NO
2020-01-02;SI;OTRO;M;SUBTE;293;NO
2020-01-02;SI;OTRO;M;TOTAL;2976;NO
2020-01-02;SI;OTRO;M;TREN;733;NO
2020-01-02;SI;PENSION;F;COLECTIVO;79933;NO
2020-01-02;SI;PENSION;F;LANCHA;0;NO
2020-01-02;SI;PENSION;F;SUBTE;5070;NO
2020-01-02;SI;PENSION;F;TOTAL;82189;NO
2020-01-02;SI;PENSION;F;TREN;16608;NO
2020-01-02;SI;PENSION;M;COLECTIVO;31899;NO
2020-01-02;SI;PENSION;M;LANCHA;0;NO
2020-01-02;SI;PENSION;M;SUBTE;2239;NO
2020-01-02;SI;PENSION;M;TOTAL;33024;NO
2020-01-02;SI;PENSION;M;TREN;7081;NO
2020-01-02;SI;PERSONAL DEL TRABAJO DOMÉSTICO;F;COLECTIVO;121035;NO
2020-01-02;SI;PERSONAL DEL TRABAJO DOMÉSTICO;F;LANCHA;0;NO
2020-01-02;SI;PERSONAL DEL TRABAJO DOMÉSTICO;F;SUBTE;12183;NO
2020-01-02;SI;PERSONAL DEL TRABAJO DOMÉSTICO;F;TOTAL;124213;NO
2020-01-02;SI;PERSONAL DEL TRABAJO DOMÉSTICO;F;TREN;34416;NO
2020-01-02;SI;PERSONAL DEL TRABAJO DOMÉSTICO;M;COLECTIVO;1251;NO
2020-01-02;SI;PERSONAL DEL TRABAJO DOMÉSTICO;M;LANCHA;0;NO
2020-01-02;SI;PERSONAL DEL TRABAJO DOMÉSTICO;M;SUBTE;160;NO
2020-01-02;SI;PERSONAL DEL TRABAJO DOMÉSTICO;M;TOTAL;1326;NO
2020-01-02;SI;PERSONAL DEL TRABAJO DOMÉSTICO;M;TREN;361;NO
2020-01-02;SI;PROGRESAR;F;COLECTIVO;24674;NO
2020-01-02;SI;PROGRESAR;F;LANCHA;0;NO
2020-01-02;SI;PROGRESAR;F;SUBTE;2323;NO
2020-01-02;SI;PROGRESAR;F;TOTAL;25646;NO
2020-01-02;SI;PROGRESAR;F;TREN;6010;NO
2020-01-02;SI;PROGRESAR;M;COLECTIVO;10854;NO
2020-01-02;SI;PROGRESAR;M;LANCHA;0;NO
2020-01-02;SI;PROGRESAR;M;SUBTE;1203;NO
2020-01-02;SI;PROGRESAR;M;TOTAL;11473;NO
2020-01-02;SI;PROGRESAR;M;TREN;3028;NO
2020-01-03;NO;;;COLECTIVO;219773;NO
2020-01-03;NO;;;LANCHA;5;NO
2020-01-03;NO;;;SUBTE;0;NO
2020-01-03;NO;;;TOTAL;219868;NO
2020-01-03;NO;;;TREN;182;NO
2020-01-03;NO;;F;COLECTIVO;115121;NO
2020-01-03;NO;;F;LANCHA;28;NO
2020-01-03;NO;;F;SUBTE;0;NO
2020-01-03;NO;;F;TOTAL;115217;NO
2020-01-03;NO;;F;TREN;129;NO
2020-01-03;NO;;M;COLECTIVO;72448;NO
2020-01-03;NO;;M;LANCHA;36;NO
2020-01-03;NO;;M;SUBTE;0;NO
2020-01-03;NO;;M;TOTAL;72535;NO
2020-01-03;NO;;M;TREN;94;NO
2020-01-03;NO;AUH;F;COLECTIVO;56084;NO
2020-01-03;NO;AUH;F;LANCHA;1;NO
2020-01-03;NO;AUH;F;SUBTE;0;NO
2020-01-03;NO;AUH;F;TOTAL;56088;NO
2020-01-03;NO;AUH;F;TREN;9;NO
2020-01-03;NO;AUH;M;COLECTIVO;1081;NO
2020-01-03;NO;AUH;M;LANCHA;0;NO
2020-01-03;NO;AUH;M;SUBTE;0;NO
2020-01-03;NO;AUH;M;TOTAL;1081;NO
2020-01-03;NO;AUH;M;TREN;0;NO
2020-01-03;NO;JUBILACION;F;COLECTIVO;78320;NO
2020-01-03;NO;JUBILACION;F;LANCHA;14;NO
2020-01-03;NO;JUBILACION;F;SUBTE;0;NO
2020-01-03;NO;JUBILACION;F;TOTAL;78344;NO
2020-01-03;NO;JUBILACION;F;TREN;20;NO
2020-01-03;NO;JUBILACION;M;COLECTIVO;38849;NO
2020-01-03;NO;JUBILACION;M;LANCHA;12;NO
2020-01-03;NO;JUBILACION;M;SUBTE;0;NO
2020-01-03;NO;JUBILACION;M;TOTAL;38872;NO
2020-01-03;NO;JUBILACION;M;TREN;16;NO
2020-01-03;NO;MONOTRIBUTO SOCIAL;F;COLECTIVO;12090;NO
2020-01-03;NO;MONOTRIBUTO SOCIAL;F;LANCHA;1;NO
2020-01-03;NO;MONOTRIBUTO SOCIAL;F;SUBTE;0;NO
2020-01-03;NO;MONOTRIBUTO SOCIAL;F;TOTAL;12091;NO
2020-01-03;NO;MONOTRIBUTO SOCIAL;F;TREN;1;NO
2020-01-03;NO;MONOTRIBUTO SOCIAL;M;COLECTIVO;4220;NO
2020-01-03;NO;MONOTRIBUTO SOCIAL;M;LANCHA;1;NO
2020-01-03;NO;MONOTRIBUTO SOCIAL;M;SUBTE;0;NO
2020-01-03;NO;MONOTRIBUTO SOCIAL;M;TOTAL;4221;NO
2020-01-03;NO;MONOTRIBUTO SOCIAL;M;TREN;0;NO
2020-01-03;NO;OTRO;F;COLECTIVO;2741;NO
2020-01-03;NO;OTRO;F;LANCHA;0;NO
2020-01-03;NO;OTRO;F;SUBTE;0;NO
2020-01-03;NO;OTRO;F;TOTAL;2741;NO
2020-01-03;NO;OTRO;F;TREN;0;NO
2020-01-03;NO;OTRO;M;COLECTIVO;1235;NO
2020-01-03;NO;OTRO;M;LANCHA;0;NO
2020-01-03;NO;OTRO;M;SUBTE;0;NO
2020-01-03;NO;OTRO;M;TOTAL;1235;NO
2020-01-03;NO;OTRO;M;TREN;0;NO
2020-01-03;NO;PENSION;F;COLECTIVO;38201;NO
2020-01-03;NO;PENSION;F;LANCHA;3;NO
2020-01-03;NO;PENSION;F;SUBTE;0;NO
2020-01-03;NO;PENSION;F;TOTAL;38207;NO
2020-01-03;NO;PENSION;F;TREN;4;NO
2020-01-03;NO;PENSION;M;COLECTIVO;14205;NO
2020-01-03;NO;PENSION;M;LANCHA;0;NO
2020-01-03;NO;PENSION;M;SUBTE;0;NO
2020-01-03;NO;PENSION;M;TOTAL;14206;NO
2020-01-03;NO;PENSION;M;TREN;4;NO
2020-01-03;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;COLECTIVO;26129;NO
2020-01-03;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;LANCHA;3;NO
2020-01-03;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;SUBTE;0;NO
2020-01-03;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;TOTAL;26136;NO
2020-01-03;NO;PERSONAL DEL TRABAJO DOMÉSTICO;F;TREN;8;NO
2020-01-03;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;COLECTIVO;199;NO
2020-01-03;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;LANCHA;1;NO
2020-01-03;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;SUBTE;0;NO
2020-01-03;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;TOTAL;200;NO
2020-01-03;NO;PERSONAL DEL TRABAJO DOMÉSTICO;M;TREN;0;NO
2020-01-03;NO;PROGRESAR;F;COLECTIVO;10338;NO
2020-01-03;NO;PROGRESAR;F;LANCHA;1;NO
2020-01-03;NO;PROGRESAR;F;SUBTE;0;NO
2020-01-03;NO;PROGRESAR;F;TOTAL;10342;NO
2020-01-03;NO;PROGRESAR;F;TREN;6;NO
2020-01-03;NO;PROGRESAR;M;COLECTIVO;5103;NO
2020-01-03;NO;PROGRESAR;M;LANCHA;0;NO
2020-01-03;NO;PROGRESAR;M;SUBTE;0;NO
2020-01-03;NO;PROGRESAR;M;TOTAL;5103;NO
2020-01-03;NO;PROGRESAR;M;TREN;1;NO
2020-01-03;SI;;;COLECTIVO;1039349;NO
2020-01-03;SI;;;LANCHA;0;NO
2020-01-03;SI;;;SUBTE;226614;NO
2020-01-03;SI;;;TOTAL;1193614;NO
2020-01-03;SI;;;TREN;273687;NO
2020-01-03;SI;;F;COLECTIVO;611882;NO
2020-01-03;SI;;F;LANCHA;0;NO
2020-01-03;SI;;F;SUBTE;116725;NO
2020-01-03;SI;;F;TOTAL;678538;NO
2020-01-03;SI;;F;TREN;147373;NO
2020-01-03;SI;;M;COLECTIVO;477237;NO
